log_message,stack_trace,test_name,error_type,duration_ms,retry_count,memory_mb,cpu_percent,line_number,file_count,test_count,failure_rate_history,time_since_last_success,network_latency_ms,db_response_time_ms,queue_size,component,environment,severity,build_tool,os,language,ci_platform,trigger_type,branch_type,day_of_week,is_timeout,is_network_error,has_retry,is_first_run,parallel_execution,has_external_dependency,is_flaky
NullPointerException at PaymentService.java:484 - data is null,"java.lang.IndexOutOfBoundsException: Index 11 out of bounds for length 46
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.payment.PaymentService.run(PaymentService.java:496)
    at com.example.test.SearchConnectionPaymentTest.test_search_connection_payment(SearchConnectionPaymentTest.java:29)",test_search_connection_payment,RaceConditionException,1165,0,158,17,141,19,372,0.226,39.0,44,46,797,payment,dev,critical,maven,linux,java,gitlab_ci,pull_request,feature,monday,0,0,0,0,0,0,0
Deadlock detected between threads thread-9 and thread-19,,test_read_data_notification,AssertionError,4814,0,830,24,829,26,366,0.365,32.03,64,47,168,notification,staging,critical,gradle,windows,kotlin,circleci,tag,feature,friday,0,1,0,0,1,0,0
Schema validation failed: name does not match pattern,"java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.analytics.AsyncService.await(AsyncService.java:416)
    at com.example.test.ProcessPaymentAnalyticsTest.test_process_payment_analytics(ProcessPaymentAnalyticsTest.java:41)",test_process_payment_analytics,ValidationException,922,0,361,2,736,5,249,0.59,14.65,72,34,350,analytics,integration,critical,gradle,windows,rust,gitlab_ci,push,feature,wednesday,0,0,1,0,0,0,1
"External API elasticsearch returned 503, scheduled retry in 100ms","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.notification.NotificationService.run(NotificationService.java:328)
    at com.example.test.AuthorizeDataNotificationTest.test_authorize_data_notification(AuthorizeDataNotificationTest.java:178)",test_authorize_data_notification,ServiceUnavailableException,1020,3,167,7,636,13,208,0.611,40.84,39,46,626,notification,prod,info,cargo,linux,go,jenkins,tag,release,saturday,0,1,1,0,1,0,1
"Network partition simulated, connection restored after 511ms",,test_update_data_storage,ConnectionResetException,17352,2,752,8,894,48,250,0.46,17.62,79,80,403,storage,integration,error,npm,linux,java,github_actions,manual,hotfix,thursday,0,0,0,0,0,0,1
NullPointerException at QueueService.java:250 - data is null,"java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.queue.AsyncService.await(AsyncService.java:423)
    at com.example.test.ValidateCacheQueueTest.test_validate_cache_queue(ValidateCacheQueueTest.java:115)",test_validate_cache_queue,TransientFailureException,1611,1,354,35,543,9,205,0.606,89.67,89,48,467,queue,dev,warning,go,linux,python,travis,tag,main,monday,1,0,0,0,1,0,0
Array index 158 out of bounds for length 36,"java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.search.AsyncService.await(AsyncService.java:235)
    at com.example.test.TransformConnectionSearchTest.test_transform_connection_search(TransformConnectionSearchTest.java:187)",test_transform_connection_search,ArithmeticException,681,1,772,42,418,6,183,0.488,72.25,40,23,699,search,staging,info,maven,macos,python,github_actions,tag,develop,thursday,0,0,0,1,1,1,0
Deadlock detected between threads thread-10 and thread-18,,test_validate_order_session,ResourceBusyException,744,0,302,26,463,18,34,0.464,70.11,99,43,903,session,integration,info,pip,linux,javascript,gitlab_ci,manual,feature,sunday,0,0,1,0,0,1,0
Invalid argument: count cannot be null,"java.lang.AssertionError: expected:<200> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.TransformPaymentAuthTest.test_transform_payment_auth(TransformPaymentAuthTest.java:100)",test_transform_payment_auth,IllegalArgumentException,771,0,168,19,911,48,362,0.126,13.45,28,77,290,auth,test,info,go,linux,python,github_actions,pull_request,develop,saturday,0,1,1,1,0,0,0
Array index 323 out of bounds for length 77,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.analytics.AnalyticsService.run(AnalyticsService.java:498)
    at com.example.test.AuthenticateCacheAnalyticsTest.test_authenticate_cache_analytics(AuthenticateCacheAnalyticsTest.java:31)",test_authenticate_cache_analytics,NullPointerException,914,0,328,11,151,23,301,0.521,49.54,118,34,329,analytics,integration,info,cargo,macos,javascript,travis,pull_request,release,sunday,0,0,0,0,0,1,0
Memory pressure caused GC pause of 404ms during test,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.run(QueueService.java:358)
    at com.example.test.ValidateConfigQueueTest.test_validate_config_queue(ValidateConfigQueueTest.java:62)",test_validate_config_queue,SocketTimeoutException,308,1,349,39,857,33,415,0.381,18.74,148,12,879,queue,dev,critical,maven,linux,python,travis,push,hotfix,saturday,0,1,1,1,0,0,1
Memory leak detected: 994399 bytes not freed,"java.lang.IndexOutOfBoundsException: Index 47 out of bounds for length 49
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.user.UserService.process(UserService.java:260)
    at com.example.test.FilterOrderUserTest.test_filter_order_user(FilterOrderUserTest.java:40)",test_filter_order_user,NullPointerException,3303,0,380,33,59,28,321,0.6,173.21,74,29,93,user,staging,info,maven,windows,go,gitlab_ci,schedule,hotfix,thursday,0,0,1,0,0,1,0
Memory leak detected: 211148 bytes not freed,"java.lang.AssertionError: expected:<200> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.AuthorizeCacheAuthTest.test_authorize_cache_auth(AuthorizeCacheAuthTest.java:119)",test_authorize_cache_auth,ValidationException,1147,0,435,14,633,8,93,0.441,26.36,69,63,128,auth,staging,warning,go,linux,go,gitlab_ci,push,feature,thursday,0,1,0,0,0,1,0
"External API kafka returned 503, scheduled retry in 100ms","org.apache.http.conn.ConnectTimeoutException: Connect to user.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.user.HttpClient.execute(HttpClient.java:50)
    at com.example.test.FilterUserUserTest.test_filter_user_user(FilterUserUserTest.java:58)",test_filter_user_user,LockContentionException,1479,2,465,33,246,24,79,0.415,52.99,15,82,822,user,dev,info,maven,windows,go,gitlab_ci,push,main,tuesday,0,1,1,0,0,1,1
"Network latency spike detected: 2269ms, threshold exceeded",,test_validate_order_auth,TransientFailureException,742,2,465,15,95,2,105,0.206,28.23,212,21,944,auth,integration,warning,npm,windows,javascript,gitlab_ci,manual,release,friday,0,1,1,1,0,0,1
Test TestQueue_96 passed after 0 retries due to timing issue,,test_create_cache_queue,ClassCastException,1239,0,410,30,186,39,276,0.248,14.34,42,40,169,queue,prod,info,maven,macos,python,gitlab_ci,tag,develop,sunday,1,0,0,0,0,0,0
Division by zero in handle at AnalyticsService.java:269,,test_filter_response_analytics,MissingFieldException,2835,0,354,51,342,35,462,0.445,8.46,27,58,483,analytics,integration,warning,go,windows,rust,github_actions,tag,release,saturday,0,1,0,0,1,0,0
Type mismatch: expected SUCCESS but got 500,"java.lang.IndexOutOfBoundsException: Index 96 out of bounds for length 20
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.database.DatabaseService.execute(DatabaseService.java:448)
    at com.example.test.CreateConnectionDatabaseTest.test_create_connection_database(CreateConnectionDatabaseTest.java:88)",test_create_connection_database,IllegalArgumentException,8585,0,201,10,107,41,313,0.491,139.03,66,59,7,database,integration,warning,pip,windows,javascript,jenkins,schedule,develop,monday,0,0,0,0,0,1,1
Assertion failed: list.size() > 0 was false,,test_process_session_session,NetworkException,1091,0,411,16,411,29,473,0.045,4.23,112,46,793,session,staging,warning,cargo,macos,java,gitlab_ci,manual,main,saturday,1,1,0,0,0,1,0
"Resource connection busy, waiting for lock release","java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.api.AsyncService.await(AsyncService.java:89)
    at com.example.test.ProcessOrderApiTest.test_process_order_api(ProcessOrderApiTest.java:99)",test_process_order_api,NullPointerException,4597,1,282,4,129,20,454,0.534,63.31,20,25,708,api,test,error,cargo,windows,rust,travis,schedule,release,saturday,1,0,1,0,0,0,1
Race condition detected in concurrent test execution,,test_create_request_user,IllegalStateException,6640,0,660,26,869,34,313,0.425,1.64,15,133,893,user,test,critical,gradle,windows,rust,travis,schedule,feature,wednesday,0,1,1,1,1,1,0
Invalid argument: count cannot be invalid,,test_update_request_search,ArithmeticException,343,0,212,40,617,13,4,0.159,104.51,53,75,668,search,staging,warning,maven,windows,go,circleci,tag,feature,friday,0,0,0,0,1,0,0
Invalid argument: count cannot be null,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.database.DatabaseService.handle(DatabaseService.java:338)
    at com.example.database.DatabaseHandler.validate(DatabaseHandler.java:343)
    at com.example.test.FilterConfigDatabaseTest.test_filter_config_database(FilterConfigDatabaseTest.java:179)",test_filter_config_database,NetworkException,1490,0,117,19,477,21,488,0.19,34.91,16,33,786,database,staging,warning,go,linux,go,circleci,tag,feature,wednesday,0,0,0,0,1,0,0
Race condition detected in concurrent test execution,"java.lang.IndexOutOfBoundsException: Index 85 out of bounds for length 29
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.search.SearchService.run(SearchService.java:480)
    at com.example.test.TransformConfigSearchTest.test_transform_config_search(TransformConfigSearchTest.java:79)",test_transform_config_search,TypeMismatchException,435,0,334,19,81,41,89,0.38,7.34,54,37,854,search,test,info,go,linux,kotlin,github_actions,manual,hotfix,tuesday,1,0,0,0,1,0,1
"Resource lock busy, waiting for lock release","java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.user.AsyncService.await(AsyncService.java:291)
    at com.example.test.TransformPaymentUserTest.test_transform_payment_user(TransformPaymentUserTest.java:183)",test_transform_payment_user,NetworkException,10115,0,409,42,577,22,290,0.192,65.92,349,159,567,user,staging,info,pip,macos,rust,circleci,push,hotfix,friday,0,0,0,0,0,1,1
Array index 765 out of bounds for length 60,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.database.DatabaseService.run(DatabaseService.java:365)
    at com.example.test.FilterConfigDatabaseTest.test_filter_config_database(FilterConfigDatabaseTest.java:88)",test_filter_config_database,NullPointerException,1374,0,581,14,90,8,415,0.34,30.95,14,9,863,database,prod,warning,go,linux,java,gitlab_ci,manual,feature,thursday,0,0,1,0,0,0,0
"External API postgresql returned 503, scheduled retry in 1000ms","org.apache.http.conn.ConnectTimeoutException: Connect to storage.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.storage.HttpClient.execute(HttpClient.java:282)
    at com.example.test.UpdateCacheStorageTest.test_update_cache_storage(UpdateCacheStorageTest.java:69)",test_update_cache_storage,ResourceBusyException,3314,0,634,58,624,5,393,0.533,11.13,220,48,728,storage,integration,error,go,macos,javascript,github_actions,tag,main,sunday,1,1,0,0,0,0,1
Async operation timed out but completed successfully on retry,"java.lang.AssertionError: expected:<200> but was:<false>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.ProcessResponseAuthTest.test_process_response_auth(ProcessResponseAuthTest.java:79)",test_process_response_auth,IndexOutOfBoundsException,1940,0,751,18,973,21,454,0.374,199.98,50,88,240,auth,dev,info,npm,macos,rust,circleci,schedule,feature,wednesday,0,1,0,0,1,0,0
Assertion failed: result != null was false,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.notification.NotificationService.handle(NotificationService.java:455)
    at com.example.notification.NotificationHandler.convert(NotificationHandler.java:177)
    at com.example.test.ReadCacheNotificationTest.test_read_cache_notification(ReadCacheNotificationTest.java:51)",test_read_cache_notification,RetryableException,321,2,182,8,559,32,246,0.433,1.67,12,20,223,notification,prod,info,npm,windows,rust,github_actions,schedule,hotfix,thursday,0,0,0,0,1,0,0
Race condition detected in concurrent test execution,,test_authenticate_request_database,ValidationException,1230,0,61,21,870,37,82,0.0,61.74,80,47,392,database,staging,critical,maven,linux,go,github_actions,tag,hotfix,wednesday,1,0,0,0,1,0,0
Deadlock detected between threads thread-14 and thread-4,,test_search_connection_user,ArithmeticException,3573,0,126,22,675,16,2,0.539,24.99,17,68,942,user,integration,error,npm,macos,go,circleci,manual,feature,tuesday,0,0,1,1,0,0,0
"Network partition simulated, connection restored after 3104ms",,test_process_session_analytics,IllegalArgumentException,2907,2,283,45,921,8,64,0.504,37.96,191,88,653,analytics,dev,critical,gradle,macos,python,github_actions,schedule,release,wednesday,0,0,0,0,0,0,1
Schema validation failed: name does not match pattern,"java.lang.AssertionError: expected:<200> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.AuthorizeSessionNotificationTest.test_authorize_session_notification(AuthorizeSessionNotificationTest.java:100)",test_authorize_session_notification,SecurityException,450,0,270,6,163,44,419,0.172,23.08,108,51,380,notification,staging,warning,npm,linux,rust,github_actions,manual,main,wednesday,1,0,0,0,1,0,0
Deadlock detected between threads thread-3 and thread-19,"java.lang.IndexOutOfBoundsException: Index 87 out of bounds for length 7
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.auth.AuthService.process(AuthService.java:382)
    at com.example.test.ProcessConnectionAuthTest.test_process_connection_auth(ProcessConnectionAuthTest.java:146)",test_process_connection_auth,ConcurrencyException,995,0,370,11,978,16,6,0.191,31.08,107,18,649,auth,test,warning,gradle,linux,rust,circleci,schedule,develop,monday,1,1,0,0,0,1,0
Type mismatch: expected valid but got 0,"org.apache.http.conn.ConnectTimeoutException: Connect to search.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.search.HttpClient.execute(HttpClient.java:412)
    at com.example.test.TransformCacheSearchTest.test_transform_cache_search(TransformCacheSearchTest.java:192)",test_transform_cache_search,ServiceUnavailableException,485,1,372,9,449,8,493,0.439,36.9,11,48,40,search,prod,error,cargo,macos,kotlin,travis,pull_request,main,thursday,1,0,1,0,1,1,1
Intermittent failure in notification: resource unavailable,,test_authenticate_session_notification,LockContentionException,302,0,959,30,505,14,4,0.0,72.53,43,91,132,notification,test,critical,go,linux,javascript,gitlab_ci,push,hotfix,friday,0,0,0,0,1,1,1
Security violation: unauthorized access to connection,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.search.SearchService.handle(SearchService.java:402)
    at com.example.search.SearchHandler.convert(SearchHandler.java:188)
    at com.example.test.FilterResponseSearchTest.test_filter_response_search(FilterResponseSearchTest.java:43)",test_filter_response_search,NullPointerException,2699,0,293,26,817,47,210,0.231,4.68,16,34,620,search,integration,critical,gradle,linux,rust,github_actions,tag,release,tuesday,0,0,1,1,0,0,0
Schema validation failed: userId does not match pattern,"java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.cache.AsyncService.await(AsyncService.java:330)
    at com.example.test.ReadConnectionCacheTest.test_read_connection_cache(ReadConnectionCacheTest.java:88)",test_read_connection_cache,LockContentionException,3199,2,275,21,615,32,13,0.69,10.24,42,11,793,cache,integration,error,go,linux,rust,jenkins,push,main,monday,1,0,1,0,1,0,1
Division by zero in handle at ApiService.java:232,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.api.ApiService.handle(ApiService.java:144)
    at com.example.api.ApiHandler.transform(ApiHandler.java:494)
    at com.example.test.SearchConnectionApiTest.test_search_connection_api(SearchConnectionApiTest.java:115)",test_search_connection_api,IllegalArgumentException,597,1,1075,87,602,15,445,0.426,3.95,23,76,781,api,prod,info,cargo,linux,javascript,jenkins,push,release,tuesday,0,0,0,0,0,1,0
Deadlock detected between threads thread-3 and thread-1,,test_filter_config_search,RaceConditionException,1470,0,222,20,82,35,56,0.845,46.56,66,26,430,search,staging,info,pip,macos,java,gitlab_ci,pull_request,main,monday,0,0,1,0,0,1,0
"Network partition simulated, connection restored after 1790ms",,test_process_data_api,ResourceBusyException,2357,0,289,11,808,9,309,0.639,25.2,164,21,757,api,staging,error,cargo,windows,kotlin,gitlab_ci,schedule,develop,friday,1,0,1,0,0,0,1
"Resource thread busy, waiting for lock release","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.auth.AuthService.execute(AuthService.java:429)
    at com.example.test.SearchPaymentAuthTest.test_search_payment_auth(SearchPaymentAuthTest.java:164)",test_search_payment_auth,IndexOutOfBoundsException,1442,0,291,38,891,7,471,0.465,28.68,298,121,962,auth,dev,error,pip,linux,go,travis,manual,feature,tuesday,1,0,1,1,0,1,1
Test TestDatabase_73 passed after 1 retries due to timing issue,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.database.DatabaseService.run(DatabaseService.java:478)
    at com.example.test.TransformOrderDatabaseTest.test_transform_order_database(TransformOrderDatabaseTest.java:114)",test_transform_order_database,ServiceUnavailableException,2248,1,166,20,949,5,88,0.277,30.78,44,645,126,database,staging,warning,pip,windows,java,jenkins,pull_request,hotfix,wednesday,1,1,0,1,1,1,1
Type mismatch: expected SUCCESS but got null,,test_filter_session_analytics,RetryableException,4382,0,150,17,54,26,12,0.243,10.06,54,61,135,analytics,integration,warning,maven,windows,python,jenkins,manual,develop,wednesday,1,0,0,0,0,0,0
Thread pool saturation caused temporary request rejection,"org.apache.http.conn.ConnectTimeoutException: Connect to database.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.database.HttpClient.execute(HttpClient.java:81)
    at com.example.test.TransformOrderDatabaseTest.test_transform_order_database(TransformOrderDatabaseTest.java:158)",test_transform_order_database,ValidationException,1139,3,252,17,414,34,317,0.61,7.55,55,193,346,database,integration,critical,go,windows,go,circleci,schedule,feature,saturday,1,0,0,0,0,0,1
Security violation: unauthorized access to thread,,test_process_user_cache,ResourceBusyException,2045,0,295,59,671,10,366,0.661,8.87,20,33,793,cache,test,error,gradle,windows,rust,travis,push,hotfix,saturday,1,0,1,0,1,0,0
Circular dependency detected in auth,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.auth.AuthService.handle(AuthService.java:484)
    at com.example.test.TransformUserAuthTest.test_transform_user_auth(TransformUserAuthTest.java:164)",test_transform_user_auth,NullPointerException,542,0,237,10,877,2,96,0.474,21.48,107,38,209,auth,integration,error,npm,macos,kotlin,travis,schedule,main,wednesday,1,1,0,1,0,0,0
"Connection to redis timed out after 5000ms, retry attempt 1","java.lang.AssertionError: expected:<true> but was:<false>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.CreateUserNotificationTest.test_create_user_notification(CreateUserNotificationTest.java:182)",test_create_user_notification,ConnectionResetException,3423,1,936,3,141,32,470,0.253,3.52,103,27,581,notification,staging,error,maven,linux,javascript,gitlab_ci,manual,hotfix,sunday,0,0,1,0,1,0,1
"Connection to rabbitmq timed out after 1000ms, retry attempt 0","java.lang.AssertionError: expected:<200> but was:<null>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.AuthenticateResponseSearchTest.test_authenticate_response_search(AuthenticateResponseSearchTest.java:76)",test_authenticate_response_search,RetryableException,810,0,458,23,929,27,421,0.074,65.08,48,123,538,search,integration,warning,maven,windows,rust,travis,schedule,develop,monday,0,1,1,0,1,1,0
Memory pressure caused GC pause of 456ms during test,"org.apache.http.conn.ConnectTimeoutException: Connect to storage.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.storage.HttpClient.execute(HttpClient.java:110)
    at com.example.test.AuthorizeSessionStorageTest.test_authorize_session_storage(AuthorizeSessionStorageTest.java:25)",test_authorize_session_storage,SocketTimeoutException,3023,1,295,11,682,15,56,0.541,88.02,21,288,741,storage,test,info,maven,macos,java,gitlab_ci,push,develop,wednesday,0,1,1,1,0,0,1
Thread pool saturation caused temporary request rejection,,test_read_session_cache,ClassCastException,1655,0,101,21,767,41,471,0.366,15.99,140,59,102,cache,staging,info,npm,macos,python,travis,manual,hotfix,sunday,1,0,0,0,0,0,1
Race condition detected in concurrent test execution,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.payment.PaymentService.handle(PaymentService.java:122)
    at com.example.test.DeleteResponsePaymentTest.test_delete_response_payment(DeleteResponsePaymentTest.java:73)",test_delete_response_payment,IllegalStateException,707,2,663,5,723,34,236,0.724,62.27,137,27,631,payment,integration,warning,maven,linux,python,travis,push,main,tuesday,1,1,1,0,1,1,1
Memory leak detected: 586456 bytes not freed,"java.lang.AssertionError: expected:<true> but was:<null>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.AuthorizeConfigSearchTest.test_authorize_config_search(AuthorizeConfigSearchTest.java:158)",test_authorize_config_search,ValidationException,510,0,731,14,550,17,431,0.05,38.04,16,140,514,search,test,warning,go,windows,python,github_actions,push,hotfix,sunday,1,0,1,1,1,0,0
NullPointerException at NotificationService.java:286 - connection is null,"java.lang.AssertionError: expected:<true> but was:<false>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.UpdateDataNotificationTest.test_update_data_notification(UpdateDataNotificationTest.java:106)",test_update_data_notification,TransientFailureException,2333,0,629,62,774,25,416,0.553,21.89,102,70,118,notification,test,warning,pip,linux,rust,gitlab_ci,tag,develop,saturday,1,1,1,0,1,1,1
Schema validation failed: id does not match pattern,,test_filter_request_cache,AssertionError,1220,0,1500,23,41,44,373,0.63,11.68,387,35,708,cache,prod,error,cargo,macos,rust,jenkins,tag,develop,friday,1,1,1,0,0,0,0
Socket connection reset by peer during write,"java.util.concurrent.TimeoutException: Future timed out after 5000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.database.AsyncService.await(AsyncService.java:453)
    at com.example.test.AuthorizeOrderDatabaseTest.test_authorize_order_database(AuthorizeOrderDatabaseTest.java:113)",test_authorize_order_database,NetworkException,3014,2,717,7,39,17,187,0.454,5.29,546,46,595,database,prod,critical,npm,windows,kotlin,jenkins,manual,feature,friday,1,0,1,1,0,0,1
Memory leak detected: 487775 bytes not freed,,test_update_order_user,SecurityException,587,0,688,28,524,30,454,0.224,30.86,94,88,957,user,integration,critical,gradle,macos,rust,travis,tag,hotfix,tuesday,0,0,0,0,0,1,0
Configuration error: property 'api.key' not found,"java.util.concurrent.TimeoutException: Future timed out after 5000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.payment.AsyncService.await(AsyncService.java:95)
    at com.example.test.AuthorizeSessionPaymentTest.test_authorize_session_payment(AuthorizeSessionPaymentTest.java:156)",test_authorize_session_payment,ServiceUnavailableException,2448,2,2494,49,859,13,136,0.727,10.79,39,24,309,payment,prod,critical,npm,macos,rust,gitlab_ci,schedule,hotfix,wednesday,1,0,0,0,0,0,1
"Connection to elasticsearch timed out after 5000ms, retry attempt 3",,test_process_payment_payment,ConfigurationException,3241,3,738,54,93,38,304,0.45,19.52,114,162,29,payment,integration,error,go,linux,go,jenkins,pull_request,develop,saturday,1,1,0,0,0,1,1
"Network latency spike detected: 2674ms, threshold exceeded",,test_update_connection_notification,ClassCastException,829,0,255,35,233,26,225,0.662,13.83,75,142,986,notification,integration,info,maven,windows,python,github_actions,push,main,tuesday,0,1,0,0,1,0,1
Memory leak detected: 179329 bytes not freed,"org.apache.http.conn.ConnectTimeoutException: Connect to notification.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.notification.HttpClient.execute(HttpClient.java:63)
    at com.example.test.UpdateResponseNotificationTest.test_update_response_notification(UpdateResponseNotificationTest.java:160)",test_update_response_notification,SecurityException,5361,0,459,19,967,41,78,0.422,221.51,90,173,693,notification,staging,info,pip,linux,java,jenkins,manual,feature,thursday,1,1,0,0,1,0,0
Circular dependency detected in analytics,,test_validate_data_analytics,IllegalArgumentException,2977,0,497,12,568,1,342,0.816,158.61,25,129,470,analytics,prod,error,go,macos,go,jenkins,schedule,feature,friday,0,1,0,0,0,0,0
NullPointerException at SearchService.java:203 - result is null,"java.lang.IndexOutOfBoundsException: Index 98 out of bounds for length 28
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.search.SearchService.process(SearchService.java:432)
    at com.example.test.AuthenticatePaymentSearchTest.test_authenticate_payment_search(AuthenticatePaymentSearchTest.java:114)",test_authenticate_payment_search,TypeMismatchException,2398,1,1011,4,796,41,278,0.305,110.43,75,34,55,search,dev,warning,pip,linux,rust,github_actions,push,hotfix,saturday,0,0,0,1,0,0,0
"Resource connection busy, waiting for lock release","org.apache.http.conn.ConnectTimeoutException: Connect to storage.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.storage.HttpClient.execute(HttpClient.java:143)
    at com.example.test.DeleteConfigStorageTest.test_delete_config_storage(DeleteConfigStorageTest.java:106)",test_delete_config_storage,TransientFailureException,3399,1,548,81,537,15,218,0.653,10.51,88,23,253,storage,prod,info,gradle,macos,go,travis,tag,hotfix,sunday,1,1,1,0,0,1,1
"Database connection pool exhausted, waiting for available connection","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.user.UserService.execute(UserService.java:155)
    at com.example.test.AuthenticateDataUserTest.test_authenticate_data_user(AuthenticateDataUserTest.java:178)",test_authenticate_data_user,RetryableException,8047,1,753,65,47,36,254,0.398,8.74,25,115,508,user,integration,info,cargo,macos,javascript,travis,pull_request,main,wednesday,0,0,0,1,0,1,1
"Database connection pool exhausted, waiting for available connection","java.lang.AssertionError: expected:<true> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.TransformResponseCacheTest.test_transform_response_cache(TransformResponseCacheTest.java:117)",test_transform_response_cache,ArithmeticException,1876,1,1051,24,943,35,225,0.551,23.92,67,27,289,cache,staging,error,npm,windows,go,travis,manual,feature,friday,0,0,1,0,0,0,0
"External API kafka returned 503, scheduled retry in 1000ms","java.util.concurrent.TimeoutException: Future timed out after 5000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.payment.AsyncService.await(AsyncService.java:460)
    at com.example.test.ProcessConnectionPaymentTest.test_process_connection_payment(ProcessConnectionPaymentTest.java:68)",test_process_connection_payment,ClassCastException,357,0,391,10,998,28,401,0.709,57.15,250,70,989,payment,dev,error,gradle,linux,kotlin,jenkins,push,feature,tuesday,0,0,0,0,1,0,1
"Cache miss rate spike: 80%, temporary performance degradation","java.lang.AssertionError: expected:<200> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.DeleteSessionPaymentTest.test_delete_session_payment(DeleteSessionPaymentTest.java:73)",test_delete_session_payment,SecurityException,11630,1,1158,12,943,42,131,0.847,82.81,366,50,229,payment,prod,warning,gradle,macos,javascript,gitlab_ci,push,hotfix,wednesday,0,1,1,0,0,0,1
